period_type,period_start,period_label,reporter_country,reporter_iso,partner_country,partner_iso,flow,commodity_group,analysis_bucket,hs6,hs_description,quantity_raw,quantity_unit_raw,net_weight_kg,quantity_ton,value_usd,source_name,source_url,fetched_at,data_quality_flag,confidence_score,notes
A,2020-01-01,2020,Vietnam,VNM,Estonia,EST,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,73872,kg,73872,73.872,135099.2,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Finland,FIN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1794827.117,kg,1794827.117,1794.827117,2886754.78,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,France,FRA,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,18731728.61,kg,18731728.61,18731.72861,28762956.679,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Germany,DEU,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,212181556.967,kg,212181556.967,212181.556967,324793743.384,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Greece,GRC,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,10340623.092,kg,10340623.092,10340.623092,16090834.993,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,"China, Hong Kong SAR",HKG,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,635862.781,kg,635862.781,635.862781,1069398.603,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Indonesia,IDN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,8403416.574,kg,8403416.574,8403.416574,13120117.35,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Ireland,IRL,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,3381533.678,kg,3381533.678,3381.533678,6972393.6,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Israel,ISR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,6496669.983,kg,6496669.983,6496.669983,10234437.164,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Italy,ITA,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,138964510.326,kg,138964510.326,138964.510326,219128387.988,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Japan,JPN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,93866752.201,kg,93866752.201,93866.752201,148550704.418,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
